event_timestamp,event_date,user_pseudo_id,session_id,event_name,country,device_category,source,medium,campaign
2021-01-03 07:19:36.071482 UTC,2021-01-03,1160488.2375923167,3672590451,session_start,Portugal,desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 08:55:11.658296 UTC,2021-01-03,1272248.3527408128,1844478371,session_start,Canada,desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 01:45:52.469986 UTC,2021-01-03,1412894.3157340807,6264365798,session_start,Brazil,mobile,(data deleted),(data deleted),(data deleted)
2021-01-03 12:51:10.607842 UTC,2021-01-03,1561053.3911726952,22759485,session_start,United States,mobile,(data deleted),(data deleted),(data deleted)
2021-01-03 12:24:40.892023 UTC,2021-01-03,2051660.3699709133,2660893926,view_item,Canada,desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 12:30:04.121787 UTC,2021-01-03,2051660.3699709133,2660893926,view_item,Canada,desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 12:15:59.337204 UTC,2021-01-03,2051660.3699709133,2660893926,session_start,Canada,desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 12:19:21.872907 UTC,2021-01-03,2051660.3699709133,2660893926,view_item,Canada,desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 12:26:31.240393 UTC,2021-01-03,2051660.3699709133,2660893926,view_item,Canada,desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 12:25:27.980676 UTC,2021-01-03,2051660.3699709133,2660893926,view_item,Canada,desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 12:32:34.552035 UTC,2021-01-03,2051660.3699709133,2660893926,view_item,Canada,desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 12:26:34.633801 UTC,2021-01-03,2051660.3699709133,2660893926,view_item,Canada,desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 12:27:06.373446 UTC,2021-01-03,2051660.3699709133,2660893926,view_item,Canada,desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 15:52:44.498891 UTC,2021-01-03,2430928.8778009492,1910576236,session_start,China,mobile,(data deleted),(data deleted),(data deleted)
2021-01-03 12:55:14.479212 UTC,2021-01-03,2885429.0157235569,9967615107,view_item,(not set),desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 13:27:21.515982 UTC,2021-01-03,2885429.0157235569,9967615107,view_item,(not set),desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 12:55:45.183893 UTC,2021-01-03,2885429.0157235569,9967615107,view_item,(not set),desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 13:03:15.075856 UTC,2021-01-03,2885429.0157235569,9967615107,view_item,(not set),desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 12:58:26.233611 UTC,2021-01-03,2885429.0157235569,9967615107,view_item,(not set),desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 12:54:59.365230 UTC,2021-01-03,2885429.0157235569,9967615107,view_item,(not set),desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 13:22:35.547304 UTC,2021-01-03,2885429.0157235569,9967615107,view_item,(not set),desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 13:23:01.322274 UTC,2021-01-03,2885429.0157235569,9967615107,view_item,(not set),desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 13:15:27.005203 UTC,2021-01-03,2885429.0157235569,9967615107,view_item,(not set),desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 13:34:08.735298 UTC,2021-01-03,2885429.0157235569,9967615107,add_payment_info,(not set),desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 12:54:24.114941 UTC,2021-01-03,2885429.0157235569,9967615107,view_item,(not set),desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 13:30:22.819785 UTC,2021-01-03,2885429.0157235569,9967615107,add_shipping_info,(not set),desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 13:34:25.716378 UTC,2021-01-03,2885429.0157235569,9967615107,add_payment_info,(not set),desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 13:31:14.641140 UTC,2021-01-03,2885429.0157235569,9967615107,add_payment_info,(not set),desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 12:54:05.326389 UTC,2021-01-03,2885429.0157235569,9967615107,view_item,(not set),desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 13:01:24.389222 UTC,2021-01-03,2885429.0157235569,9967615107,view_item,(not set),desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 12:52:45.115746 UTC,2021-01-03,2885429.0157235569,9967615107,session_start,(not set),desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 12:56:59.756267 UTC,2021-01-03,2885429.0157235569,9967615107,view_item,(not set),desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 22:45:26.725214 UTC,2021-01-03,3106220.7751603106,4751936836,session_start,United States,mobile,(data deleted),(data deleted),(data deleted)
2021-01-03 19:42:35.614224 UTC,2021-01-03,3112244.7106085597,6801138664,session_start,Taiwan,desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 05:04:44.532878 UTC,2021-01-03,3120132.1457707780,2636008574,session_start,Netherlands,mobile,(data deleted),(data deleted),(data deleted)
2021-01-03 03:13:55.394669 UTC,2021-01-03,3370614.1127721319,5335627829,session_start,United States,desktop,(data deleted),(data deleted),(data deleted)
2021-01-03 17:13:11.359955 UTC,2021-01-03,3694393.8135826377,6535532159,session_start,United States,mobile,(data deleted),(data deleted),(data deleted)
2021-01-03 23:14:48.469522 UTC,2021-01-03,3901468.9335827533,6298698461,session_start,Jordan,desktop,(data deleted),(data deleted),(data deleted)
